lat,lon,title,school
37.5413,-77.4333,"Richmond City Public Schools, VA",0
41.7662,-88.15170000000001,"Naperville Community Unit District 203, IL",0
35.26591,-106.631401,"Rio Rancho Public Schools, NM",0
33.491313,-112.355728,"Litchfield Elementary District, AZ",0
37.369397,-121.834111,"Alum Rock Union Elementary School District, CA",0
39.9869,-104.7692,"Brighton School District, CO",0
44.056122,-121.317221,"Bend-La Pine Administrative School District, OR",0
30.08932,-94.137011,"Beaumont Independent School District, TX",0
38.304265,-76.640356,"St. Marys County Public Schools, MD",0
47.46228,-122.337961,"Highline School District, WA",0
42.25,-83.7394,"Ann Arbor Public Schools, MI",0
36.04616,-95.789531,"Broken Arrow Public Schools, OK",0
40.77391,-73.255261,"Brentwood Union Free School District, NY",0
34.1442,-117.5145,"Etiwanda Elementary School District, CA",0
33.54418,-112.183341,"Glendale Elementary District, AZ",0
47.813488,-122.326125,"Edmonds School District, WA",0
35.512649,-97.610179,"Putnam City Public Schools, OK",0
39.97788,-86.081441,"Carmel Clay Schools, IN",0
38.5527,-76.57210000000001,"Calvert County Public Schools, MD",0
39.74355,-75.600041,"Red Clay Consolidated School District, DE",0
45.4322,-122.617,"North Clackamas School District, OR",0
38.74247,-90.614391,"Francis Howell R-III School District, MO",0
34.3002,-119.2983,"Ventura Unified School District, CA",0
38.0144,-121.8138,"Antioch Unified School District, CA",0
35.9701,-77.94799999999999,"Nash-Rocky Mount Schools, NC",0
36.3334,-94.1223,"Rogers Public Schools, AR",0
26.172026,-98.052808,"Donna Independent School District, TX",0
39.99422,-83.142521,"Hilliard City School District, OH",0
41.669019,-86.25123499999999,"South Bend Community School Corporation, IN",0
41.6588,-88.085471,"Valley View Community Unit School District, IL",0
42.081274,-71.019012,"Brockton School District, MA",0
38.9607,-92.3664,"Columbia 93 School District, MO",0
38.2758,-122.0522,"Fairfield-Suisun Unified School District, CA",0
27.00525,-82.145331,"Charlotte County School District, FL",0
32.576371,-97.364426,"Crowley Independent School District, TX",0
34.8397,-82.6661,"Pickens County School District, SC",0
42.7577,-87.8065,"Racine School District, WI",0
44.0624,-123.1052,"Eugene School District, OR",0
46.20635,-119.133271,"Kennewick School District, WA",0
33.6708,-84.0198,"Rockdale County School District, GA",0
36.800805,-119.892595,"Central Unified School District, CA",0
32.935709,-96.447934,"Rockwall Independent School District, TX",0
34.1402,-118.1339,"Pasadena Unified School District, CA",0
29.6009,-90.73909999999999,"Terrebonne Parish School District, LA",0
34.00833,-117.856895,"Walnut Valley Unified School District, CA",0
45.7839,-108.5111,"Billings Elementary School District, MT",0
33.896132,-118.158716,"Paramount Unified School District, CA",0
40.33895,-75.913601,"Reading Intermediate HS, Reading, PA",1
40.336864,-75.92183,"Reading School District, PA",0
36.16814,-86.306511,"Wilson County School District, TN",0
43.5633,-116.578,"Nampa School District, ID",0
36.3862,-94.2146,"Bentonville Public Schools, AR",0
42.3766,-87.8304,"Waukegan Community Unit School District, IL",0
37.65582,-121.876561,"Pleasanton Unified School District, CA",0
42.524,-83.01560000000001,"Warren Consolidated Schools, MI",0
32.765271,-117.02219,"La Mesa-Spring Valley School District, CA",0
36.6644,-121.6572,"Salinas City Elementary School District, CA",0
32.64591,-96.92459100000001,"Duncanville Independent School District, TX",0
39.74009,-75.544601,"Christina School District, DE",0
33.295703,-111.703693,"Higley Unified District, AZ",0
40.1116,-83.1323,"Dublin City School District, OH",0
42.710833,-71.16054,"Lawrence School District, MA",0
34.1655,-118.3249,"Burbank Unified School District, CA",0
37.233464,-121.787711,"Oak Grove Elementary School District, CA",0
39.757384,-84.19313099999999,"Dayton City School District, OH",0
42.6819,-83.13979999999999,"Rochester Community School District, MI",0
40.6329,-75.3608,"Bethlehem Area School District, PA",0
28.68961,-100.489481,"Eagle Pass Independent School District, TX",0
32.4509,-99.7329,"Abilene Independent School District, TX",0
33.519991,-86.809068,"Birmingham City School District, AL",0
39.749706,-86.270493,"Wayne Township Metropolitan School District, IN",0
39.6138,-75.8278,"Cecil County Public Schools, MD",0
39.8774,-85.97142100000001,"Lawrence Township Metropolitan School District, IN",0
37.307094,-120.479102,"Merced City Elementary School District, CA",0
