id,name,G08,lat,lon,HI08,AM08,AS08,HP08,BL08,WH08,TR08,leaidC_SEDA,WH_tot,WB_dissim,WH_dissim,WB_exp,WH_exp,G08_alg_p,G08_access_p,HI08_alg_p,BL08_alg_p,WH08_alg_p,WB_diff,WH_diff,WB_n,WH_n,WB_access,WH_access
170993000714,Young Magnet High School,125,41.878293,-87.664013,22,0,30,0,21,43,9,1709930,43,0,0,.34400001,.34400001,.23199999,1,.18181819,.33333334,.23255815,-.1007752,.050739959,21,22,0,0
170993000720,Hanson Park Elem School,122,41.923396,-87.761927,118,0,0,0,3,1,0,1709930,1,0,0,.0081967209,.0081967209,.18852459,1,.18644068,0,1,1,.81355929,1,1,0,0
170993000725,Dore Elem School,57,41.780745,-87.787716,38,0,1,0,3,15,0,1709930,15,0,0,.2631579,.2631579,.40350878,1,.34210527,.66666669,.46666667,-.20000002,.1245614,3,15,0,0
170993000728,Drake Elem School,44,41.84352,-87.628681,1,0,1,0,41,0,1,1709930,0,,,,,0,0,0,0,,,,0,0,0,0
170993000729,Drummond Elem School,25,41.915781,-87.674561,15,0,0,0,2,5,3,1709930,5,0,0,.2,.2,.23999999,1,.26666668,0,.40000001,.40000001,.13333333,2,5,0,0
170993000730,Leland Elem School,47,41.8735,-87.749701,1,0,0,0,46,0,0,1709930,0,,,,,0,0,0,0,,,,0,0,0,0
170993000731,Dubois Elem School,22,41.65404,-87.614327,1,0,0,0,21,0,0,1709930,0,,,,,0,0,0,0,,,,0,0,0,0
170993000734,Dunne Technology Acad Elem Sch,18,41.696387,-87.63978899999999,0,0,0,0,18,0,0,1709930,0,,,,,0,0,,0,,,,0,0,0,0
170993000737,Dvorak Technology Acad Elem Sch,42,41.858634,-87.71581999999999,0,0,0,0,41,0,1,1709930,0,,,,,0,0,,0,,,,0,0,0,0
170993000738,Earle Elem School,40,41.781176,-87.67532,0,0,0,0,40,0,0,1709930,0,,,,,.32499999,1,,.32499999,,,,0,0,0,0
170993000739,Eberhart Elem School,160,41.774647,-87.708448,147,0,0,0,8,4,1,1709930,4,0,0,.025,.025,1,1,1,1,1,0,0,4,4,0,0
170993000741,Ebinger Elem School,61,42.004648,-87.810777,12,1,2,0,0,45,1,1709930,45,,0,,.73770493,.96721309,1,.83333331,,1,,.16666669,0,12,0,0
170993000743,Edgebrook Elem School,50,41.999433,-87.761044,11,0,5,0,2,31,1,1709930,31,0,0,.62,.62,.95999998,1,.90909094,1,1,0,.090909064,2,11,0,0
