id,name,G08,HI08,BL08,WH08,HI08_alg_p,HI08_access_p,BL08_alg_p,BL08_access_p,WH08_alg_p,WH08_access_p
3410590,"Montgomery Township School District, NJ",405,14,11,197,.71428573,1,.63636363,1,.78172588,1
3410620,"Montvale Borough School District, NJ",118,8,1,85,0,1,0,1,.25882354,1
3410650,"Montville Township School District, NJ",319,13,3,226,0,1,0,1,.36283186,1
3410680,"Moonachie Borough School District, NJ",24,15,0,6,.13333334,1,,,.66666669,1
3410710,"Moorestown Township School District, NJ",307,15,28,226,.26666668,1,.25,1,.42920354,1
3410770,"Morris Plains Borough School District, NJ",70,6,0,62,.66666669,1,,,.69354838,1
3410810,"Morris Township School District, NJ",390,101,53,213,.099009901,1,.33962265,1,.52112675,1
3410860,"Mount Arlington Borough School District, NJ",41,6,1,31,.33333334,1,0,1,.51612902,1
3410890,"Mount Ephraim Borough School District, NJ",45,5,2,36,0,1,0,1,.3611111,1
3410920,"Mount Holly Township School District, NJ",103,21,39,40,.19047619,1,.17948718,1,.32499999,1
3411010,"Mountain Lakes Borough School District, NJ",98,3,0,79,0,1,,,.54430377,1
3411070,"Mullica Township School District, NJ",79,18,5,56,.22222222,1,.80000001,1,.125,1
3411130,"Neptune City School District, NJ",39,7,14,16,0,1,.2857143,1,.25,1
3411190,"Netcong Borough School District, NJ",25,8,1,15,0,1,0,1,.46666667,1
3411220,"New Brunswick City School District, NJ",499,439,52,6,.038724374,.14578588,.15384616,.30769232,.5,.5
3411280,"New Milford Borough School District, NJ",157,29,8,84,.13793103,1,.25,1,.26190478,1
3411310,"New Providence Borough School District, NJ",181,14,2,140,0,1,0,1,.035714287,1
3411340,"Newark City School District, NJ",3023,1284,1446,216,.10436137,.22897196,.20816045,.29598895,.083333336,.1712963
3411400,"Newton Town School District, NJ",77,12,12,50,0,1,.16666667,1,.14,1
3411490,"North Brunswick Township School District, NJ",479,143,111,100,.26573426,1,.34234235,1,.56,1
3411520,"North Caldwell Borough School District, NJ",291,23,3,247,0,1,0,1,.19838056,1
3411550,"North Haledon Borough School District, NJ",82,9,1,67,.22222222,1,0,1,.19402985,1
3411640,"North Plainfield Borough School District, NJ",214,133,43,27,.097744361,1,.1627907,1,.25925925,1
3411790,"Northfield City School District, NJ",105,11,1,87,.36363637,1,0,1,.49425286,1
3411820,"Northvale Borough School District, NJ",84,5,1,55,.40000001,1,0,1,.12727273,1
3411880,"Nutley Town School District, NJ",295,50,8,202,.2,1,0,1,.18316832,1
3411940,"Oaklyn Borough School District, NJ",33,2,0,28,1,1,,,.4642857,1
3411970,"Ocean City School District, NJ",92,7,6,77,.2857143,1,.33333334,1,.55844158,1
3412060,"Ocean Township School District, NJ",268,40,24,180,.125,1,.083333336,1,.23888889,1
3412120,"Oceanport Borough School District, NJ",67,3,0,60,0,0,,,0,0
3412150,"Ogdensburg Borough School District, NJ",19,0,1,17,,,1,1,.94117647,1
3412180,"Old Tappan Borough School District, NJ",102,3,2,61,0,1,0,1,.3114754,1
3412210,"Oldmans Township School District, NJ",29,4,3,22,1,1,.66666669,1,.86363637,1
3412270,"Orange City Township School District, NJ",339,99,238,0,.13131313,1,.14285715,1,,
3412300,"Oxford Township School District, NJ",33,1,0,32,1,1,,,.40625,1
3412390,"Palmyra Borough School District, NJ",48,5,7,30,0,1,.2857143,1,.23333333,1
3412420,"Paramus Borough School District, NJ",311,26,2,190,.07692308,1,.5,1,.2,1
3412450,"Park Ridge Borough School District, NJ",86,12,0,65,.58333331,1,,,1,1
3412480,"Parsippany-Troy Hills Township School District, NJ",548,48,15,251,.125,1,.13333334,1,.19920319,1
3412540,"Passaic City School District, NJ",789,730,31,7,.83150685,1,.80645162,1,.5714286,1
3412660,"Long Hill Township School District, NJ",113,12,1,85,.16666667,1,0,1,.71764708,1
3412720,"Paulsboro Borough School District, NJ",61,9,40,9,0,1,.40000001,1,1,1
3412810,"Pemberton Township School District, NJ",309,46,88,167,.34782609,1,.31818181,1,.32934132,1
3412840,"Penns Grove-Carneys Point Regional School District, NJ",141,42,43,56,0,0,0,0,0,0
3412870,"Pennsauken Township School District, NJ",326,146,101,38,.089041099,1,.099009901,1,.18421052,1
3412900,"Pequannock Township School District, NJ",173,13,1,153,.30769232,1,0,1,.35947713,1
3412930,"Perth Amboy City School District, NJ",696,631,53,9,.14580032,1,.2264151,1,.22222222,1
3412960,"Phillipsburg Town School District, NJ",174,38,27,104,.34210527,1,.14814815,1,.26923078,1
3412990,"Pine Hill Borough School District, NJ",104,10,39,50,.2,1,.051282052,1,.25999999,1
3413080,"Pitman Borough School District, NJ",112,1,1,101,0,1,0,1,.39603961,1
3413110,"Pittsgrove Township School District, NJ",133,15,9,106,.26666668,1,0,1,.40566039,1
3413140,"Plainfield City School District, NJ",521,290,223,2,.048275862,.7758621,.035874441,.51121074,0,0
3413200,"Pleasantville City School District, NJ",238,148,80,1,.10810811,1,.2375,1,0,1
3413230,"Plumsted Township School District, NJ",130,9,0,119,.22222222,1,,,.2857143,1
3413260,"Pohatcong Township School District, NJ",36,6,0,30,0,1,,,.26666668,1
3413290,"Point Pleasant Borough School District, NJ",214,14,2,194,.2857143,1,0,1,.51546389,1
3413320,"Point Pleasant Beach Borough School District, NJ",60,8,0,50,0,1,,,.38,1
3413350,"Pompton Lakes Borough School District, NJ",120,18,2,94,.3888889,1,0,1,.39361703,1
3413380,"Port Republic City School District, NJ",11,0,0,11,,,,,.45454547,1
3413410,"Princeton Public Schools, NJ",264,28,20,137,.35714287,1,.55000001,1,.78102189,1
3413500,"Quinton Township School District, NJ",30,1,6,21,0,0,0,0,0,0
3413530,"Rahway City School District, NJ",269,113,99,39,.77876109,1,.82828283,1,.71794873,1
3413590,"Ramsey Borough School District, NJ",244,21,1,200,.19047619,1,0,1,.45500001,1
3413650,"Randolph Township School District, NJ",421,49,15,316,.14285715,1,.26666668,1,.38291138,1
3413680,"Hazlet Township School District, NJ",231,24,2,203,.20833333,1,0,1,.35960591,1
3413710,"Readington Township School District, NJ",225,17,3,192,.23529412,1,0,1,.39583334,1
3413740,"Red Bank Borough School District, NJ",117,88,15,13,.17045455,1,.53333336,1,.61538464,1
3413770,"Ridgefield Borough School District, NJ",121,41,2,39,.097560972,1,0,1,.25641027,1
3413800,"Ridgefield Park Township School District, NJ",162,94,16,40,.20212767,1,.25,1,.32499999,1
3413830,"Ridgewood Village School District, NJ",456,41,3,310,.85365856,1,.66666669,1,.78064513,1
3413860,"Ringwood Borough School District, NJ",133,8,2,116,.25,1,0,1,.47413793,1
3413890,"River Edge Borough School District, NJ",287,27,4,187,.14814815,1,0,1,.26203209,1
3413950,"River Vale Township School District, NJ",166,3,1,142,.66666669,1,0,1,.3028169,1
3413980,"Riverdale Borough School District, NJ",32,2,2,27,0,1,0,1,.5925926,1
3414010,"Riverside Township School District, NJ",88,18,18,49,.22222222,1,.11111111,1,.14285715,1
3414040,"Riverton Borough School District, NJ",31,1,2,27,0,1,0,1,.37037036,1
3414070,"Rochelle Park Township School District, NJ",52,12,1,34,.16666667,1,0,1,.11764706,1
3414100,"Rockaway Borough School District, NJ",64,14,3,43,.2857143,1,.66666669,1,.23255815,1
3414280,"Roselle Borough School District, NJ",189,68,108,6,0,0,0,0,0,0
3414310,"Roselle Park Borough School District, NJ",167,90,10,55,.14444445,1,.2,1,.34545454,1
3414340,"Roxbury Township School District, NJ",261,38,11,193,.13157895,1,.36363637,1,.26943004,1
3414370,"Rumson Borough School District, NJ",108,0,0,107,,,,,.57009345,1
3414430,"Runnemede Borough School District, NJ",99,10,5,78,.2,1,.40000001,1,.2820513,1
3414460,"Rutherford Borough School District, NJ",193,29,5,115,1,1,1,1,.95652175,1
